,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
2,,A01,161840,16184,0.1,00:00.0,150880,15088,0.1,11:25.0,140320,14032,0.1,22:49.7,161840,0,0,0,150880,0,0,0,140320,0,0,0
2,,A02,440,44,0.1,00:00.2,480,48,0.1,11:25.2,520,52,0.1,22:49.9,440,0,0,0,480,0,0,0,520,0,0,0
2,,A03,240240,24024,0.1,00:00.4,223640,22364,0.1,11:25.4,209080,20908,0.1,22:50.0,240240,0,0,0,223640,0,0,0,209080,0,0,0
2,,A04,245320,24532,0.1,00:00.6,231040,23104,0.1,11:25.6,210240,21024,0.1,22:50.2,245320,0,0,0,231040,0,0,0,210240,0,0,0
2,,A05,236080,23608,0.1,00:00.8,220640,22064,0.1,11:25.8,203840,20384,0.1,22:50.4,236080,0,0,0,220640,0,0,0,203840,0,0,0
2,,A06,250920,25092,0.1,00:01.0,234920,23492,0.1,11:26.0,218360,21836,0.1,22:50.6,250920,0,0,0,234920,0,0,0,218360,0,0,0
2,,A07,252520,25252,0.1,00:01.1,234960,23496,0.1,11:26.2,217440,21744,0.1,22:50.8,252520,0,0,0,234960,0,0,0,217440,0,0,0
2,,A08,256400,25640,0.1,00:01.3,237680,23768,0.1,11:26.4,219200,21920,0.1,22:51.0,256400,0,0,0,237680,0,0,0,219200,0,0,0
2,,A09,259440,25944,0.1,00:01.5,242760,24276,0.1,11:26.6,219680,21968,0.1,22:51.2,259440,0,0,0,242760,0,0,0,219680,0,0,0
2,,A10,256160,25616,0.1,00:01.7,239000,23900,0.1,11:26.8,223040,22304,0.1,22:51.4,256160,0,0,0,239000,0,0,0,223040,0,0,0
2,,A11,260440,26044,0.1,00:01.9,241120,24112,0.1,11:27.0,221560,22156,0.1,22:51.6,260440,0,0,0,241120,0,0,0,221560,0,0,0
2,,A12,262400,26240,0.1,00:02.1,240000,24000,0.1,11:27.2,221480,22148,0.1,22:51.8,262400,0,0,0,240000,0,0,0,221480,0,0,0
2,,A13,8880,888,0.1,00:02.3,520,52,0.1,11:27.3,520,52,0.1,22:52.0,8880,0,0,0,520,0,0,0,520,0,0,0
2,,A14,264800,26480,0.1,00:02.5,243680,24368,0.1,11:27.5,224360,22436,0.1,22:52.2,264800,0,0,0,243680,0,0,0,224360,0,0,0
2,,A15,269120,26912,0.1,00:02.7,241320,24132,0.1,11:27.7,222160,22216,0.1,22:52.4,269120,0,0,0,241320,0,0,0,222160,0,0,0
2,,A16,267000,26700,0.1,00:02.9,232120,23212,0.1,11:27.9,205480,20548,0.1,22:52.5,267000,0,0,0,232120,0,0,0,205480,0,0,0
2,,A17,276640,27664,0.1,00:03.1,244680,24468,0.1,11:28.1,226520,22652,0.1,22:52.7,276640,0,0,0,244680,0,0,0,226520,0,0,0
2,,A18,274520,27452,0.1,00:03.3,244520,24452,0.1,11:28.3,223720,22372,0.1,22:52.9,274520,0,0,0,244520,0,0,0,223720,0,0,0
2,,A19,269000,26900,0.1,00:03.5,238800,23880,0.1,11:28.5,215200,21520,0.1,22:53.1,269000,0,0,0,238800,0,0,0,215200,0,0,0
2,,A20,269960,26996,0.1,00:03.6,239200,23920,0.1,11:28.7,218040,21804,0.1,22:53.3,269960,0,0,0,239200,0,0,0,218040,0,0,0
2,,A21,273640,27364,0.1,00:03.8,242720,24272,0.1,11:28.9,223280,22328,0.1,22:53.5,273640,0,0,0,242720,0,0,0,223280,0,0,0
2,,A22,261720,26172,0.1,00:04.0,236720,23672,0.1,11:29.1,218880,21888,0.1,22:53.7,261720,0,0,0,236720,0,0,0,218880,0,0,0
2,,A23,560,56,0.1,00:04.2,320,32,0.1,11:29.3,240,24,0.1,22:53.9,560,0,0,0,320,0,0,0,240,0,0,0
2,,A24,263280,26328,0.1,00:04.4,233600,23360,0.1,11:29.5,216760,21676,0.1,22:54.1,263280,0,0,0,233600,0,0,0,216760,0,0,0
2,,B01,224760,22476,0.1,00:04.9,225240,22524,0.1,11:29.9,209440,20944,0.1,22:54.5,224760,0,0,0,225240,0,0,0,209440,0,0,0
2,,B02,520,52,0.1,00:05.0,640,64,0.1,11:30.1,480,48,0.1,22:54.7,520,0,0,0,640,0,0,0,480,0,0,0
2,,B03,234080,23408,0.1,00:05.2,228440,22844,0.1,11:30.3,210840,21084,0.1,22:54.9,234080,0,0,0,228440,0,0,0,210840,0,0,0
2,,B04,120240,12024,0.1,00:05.4,110400,11040,0.1,11:30.5,94360,9436,0.1,22:55.1,120240,0,0,0,110400,0,0,0,94360,0,0,0
2,,B05,241600,24160,0.1,00:05.6,233440,23344,0.1,11:30.7,213720,21372,0.1,22:55.3,241600,0,0,0,233440,0,0,0,213720,0,0,0
2,,B06,236320,23632,0.1,00:05.8,234760,23476,0.1,11:30.9,219520,21952,0.1,22:55.5,236320,0,0,0,234760,0,0,0,219520,0,0,0
2,,B07,238560,23856,0.1,00:06.0,234920,23492,0.1,11:31.1,221880,22188,0.1,22:55.7,238560,0,0,0,234920,0,0,0,221880,0,0,0
2,,B08,246440,24644,0.1,00:06.2,234120,23412,0.1,11:31.3,214680,21468,0.1,22:55.9,246440,0,0,0,234120,0,0,0,214680,0,0,0
2,,B09,245840,24584,0.1,00:06.4,241640,24164,0.1,11:31.4,222000,22200,0.1,22:56.1,245840,0,0,0,241640,0,0,0,222000,0,0,0
2,,B10,250000,25000,0.1,00:06.6,239840,23984,0.1,11:31.6,224720,22472,0.1,22:56.2,250000,0,0,0,239840,0,0,0,224720,0,0,0
2,,B11,243640,24364,0.1,00:06.8,236840,23684,0.1,11:31.8,221280,22128,0.1,22:56.5,243640,0,0,0,236840,0,0,0,221280,0,0,0
2,,B12,251360,25136,0.1,00:07.0,245800,24580,0.1,11:32.0,226120,22612,0.1,22:56.6,251360,0,0,0,245800,0,0,0,226120,0,0,0
2,,B13,247640,24764,0.1,00:07.2,243920,24392,0.1,11:32.2,222880,22288,0.1,22:56.8,247640,0,0,0,243920,0,0,0,222880,0,0,0
2,,B14,248320,24832,0.1,00:07.4,242400,24240,0.1,11:32.4,220720,22072,0.1,22:57.0,248320,0,0,0,242400,0,0,0,220720,0,0,0
2,,B15,257960,25796,0.1,00:07.5,246280,24628,0.1,11:32.6,226560,22656,0.1,22:57.2,257960,0,0,0,246280,0,0,0,226560,0,0,0
2,,B16,267400,26740,0.1,00:07.7,252360,25236,0.1,11:32.8,230280,23028,0.1,22:57.4,267400,0,0,0,252360,0,0,0,230280,0,0,0
2,,B17,258760,25876,0.1,00:07.9,245000,24500,0.1,11:33.0,224960,22496,0.1,22:57.6,258760,0,0,0,245000,0,0,0,224960,0,0,0
