,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
1,,A01,224000,22400,0.1,00:00.0,193400,19340,0.1,05:57.1,181360,18136,0.1,11:54.3,224000,0,0,0,193400,0,0,0,181360,0,0,0
1,,A02,1360,136,0.1,00:00.2,1240,124,0.1,05:57.3,1080,108,0.1,11:54.5,1360,0,0,0,1240,0,0,0,1080,0,0,0
1,,A03,430040,43004,0.1,00:00.4,372840,37284,0.1,05:57.5,344640,34464,0.1,11:54.7,430040,0,0,0,372840,0,0,0,344640,0,0,0
1,,A04,434720,43472,0.1,00:00.6,375400,37540,0.1,05:57.7,351320,35132,0.1,11:54.8,434720,0,0,0,375400,0,0,0,351320,0,0,0
1,,A05,440080,44008,0.1,00:00.8,378120,37812,0.1,05:57.9,358320,35832,0.1,11:55.0,440080,0,0,0,378120,0,0,0,358320,0,0,0
1,,A06,437360,43736,0.1,00:01.0,381000,38100,0.1,05:58.1,353320,35332,0.1,11:55.2,437360,0,0,0,381000,0,0,0,353320,0,0,0
1,,A07,446560,44656,0.1,00:01.1,385400,38540,0.1,05:58.3,353960,35396,0.1,11:55.4,446560,0,0,0,385400,0,0,0,353960,0,0,0
1,,A08,447080,44708,0.1,00:01.3,387640,38764,0.1,05:58.5,360320,36032,0.1,11:55.6,447080,0,0,0,387640,0,0,0,360320,0,0,0
1,,A09,449440,44944,0.1,00:01.5,387560,38756,0.1,05:58.7,366440,36644,0.1,11:55.8,449440,0,0,0,387560,0,0,0,366440,0,0,0
1,,A10,446680,44668,0.1,00:01.7,385520,38552,0.1,05:58.9,362880,36288,0.1,11:56.0,446680,0,0,0,385520,0,0,0,362880,0,0,0
1,,A11,450400,45040,0.1,00:01.9,387160,38716,0.1,05:59.0,364200,36420,0.1,11:56.2,450400,0,0,0,387160,0,0,0,364200,0,0,0
1,,A12,451080,45108,0.1,00:02.1,389200,38920,0.1,05:59.3,365960,36596,0.1,11:56.4,451080,0,0,0,389200,0,0,0,365960,0,0,0
1,,A13,440480,44048,0.1,00:02.3,384040,38404,0.1,05:59.4,363720,36372,0.1,11:56.6,440480,0,0,0,384040,0,0,0,363720,0,0,0
1,,A14,444840,44484,0.1,00:02.5,386880,38688,0.1,05:59.6,365480,36548,0.1,11:56.8,444840,0,0,0,386880,0,0,0,365480,0,0,0
1,,A15,448120,44812,0.1,00:02.7,387960,38796,0.1,05:59.8,363240,36324,0.1,11:57.0,448120,0,0,0,387960,0,0,0,363240,0,0,0
1,,A16,436800,43680,0.1,00:02.9,376640,37664,0.1,06:00.0,354840,35484,0.1,11:57.2,436800,0,0,0,376640,0,0,0,354840,0,0,0
1,,A17,453440,45344,0.1,00:03.1,393520,39352,0.1,06:00.2,372640,37264,0.1,11:57.3,453440,0,0,0,393520,0,0,0,372640,0,0,0
1,,A18,446560,44656,0.1,00:03.3,391000,39100,0.1,06:00.4,367200,36720,0.1,11:57.5,446560,0,0,0,391000,0,0,0,367200,0,0,0
1,,A19,403760,40376,0.1,00:03.5,349560,34956,0.1,06:00.6,329200,32920,0.1,11:57.7,403760,0,0,0,349560,0,0,0,329200,0,0,0
1,,A20,448280,44828,0.1,00:03.6,384400,38440,0.1,06:00.8,365080,36508,0.1,11:57.9,448280,0,0,0,384400,0,0,0,365080,0,0,0
1,,A21,453520,45352,0.1,00:03.8,390480,39048,0.1,06:01.0,364200,36420,0.1,11:58.1,453520,0,0,0,390480,0,0,0,364200,0,0,0
1,,A22,455000,45500,0.1,00:04.0,385520,38552,0.1,06:01.2,365640,36564,0.1,11:58.3,455000,0,0,0,385520,0,0,0,365640,0,0,0
1,,A23,328640,32864,0.1,00:04.2,296040,29604,0.1,06:01.4,276920,27692,0.1,11:58.5,328640,0,0,0,296040,0,0,0,276920,0,0,0
1,,A24,445720,44572,0.1,00:04.4,391240,39124,0.1,06:01.5,364240,36424,0.1,11:58.7,445720,0,0,0,391240,0,0,0,364240,0,0,0
1,,B01,409640,40964,0.1,00:04.9,361600,36160,0.1,06:02.0,343920,34392,0.1,11:59.1,409640,0,0,0,361600,0,0,0,343920,0,0,0
1,,B02,2400,240,0.1,00:05.0,1800,180,0.1,06:02.2,1800,180,0.1,11:59.3,2400,0,0,0,1800,0,0,0,1800,0,0,0
