,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
4,,A01,18511280,1851128,0.1,00:00.0,12311800,1231180,0.1,11:24.3,8382960,838296,0.1,22:48.6,18511280,0,0,0,12311800,0,0,0,8382960,0,0,0
4,,A02,96840,9684,0.1,00:00.2,61880,6188,0.1,11:24.5,43600,4360,0.1,22:48.8,96840,0,0,0,61880,0,0,0,43600,0,0,0
4,,A03,36245760,3624576,0.1,00:00.4,23679600,2367960,0.1,11:24.7,15717360,1571736,0.1,22:49.0,36245760,0,0,0,23679600,0,0,0,15717360,0,0,0
4,,A04,36550440,3655044,0.1,00:00.6,23695840,2369584,0.1,11:24.9,15754840,1575484,0.1,22:49.1,36550440,0,0,0,23695840,0,0,0,15754840,0,0,0
4,,A05,36166400,3616640,0.1,00:00.8,23407440,2340744,0.1,11:25.1,15458680,1545868,0.1,22:49.3,36166400,0,0,0,23407440,0,0,0,15458680,0,0,0
4,,A06,36139760,3613976,0.1,00:01.0,23425520,2342552,0.1,11:25.3,15530880,1553088,0.1,22:49.5,36139760,0,0,0,23425520,0,0,0,15530880,0,0,0
4,,A07,35169800,3516980,0.1,00:01.1,22868080,2286808,0.1,11:25.5,15178760,1517876,0.1,22:49.7,35169800,0,0,0,22868080,0,0,0,15178760,0,0,0
4,,A08,35068360,3506836,0.1,00:01.3,22891880,2289188,0.1,11:25.7,15176320,1517632,0.1,22:49.9,35068360,0,0,0,22891880,0,0,0,15176320,0,0,0
4,,A09,35022360,3502236,0.1,00:01.5,22545960,2254596,0.1,11:25.9,14908800,1490880,0.1,22:50.1,35022360,0,0,0,22545960,0,0,0,14908800,0,0,0
4,,A10,34613480,3461348,0.1,00:01.7,22508160,2250816,0.1,11:26.1,14935440,1493544,0.1,22:50.3,34613480,0,0,0,22508160,0,0,0,14935440,0,0,0
4,,A11,34243560,3424356,0.1,00:01.9,22173600,2217360,0.1,11:26.3,14628040,1462804,0.1,22:50.5,34243560,0,0,0,22173600,0,0,0,14628040,0,0,0
4,,A12,33373000,3337300,0.1,00:02.1,21526760,2152676,0.1,11:26.5,14272680,1427268,0.1,22:50.7,33373000,0,0,0,21526760,0,0,0,14272680,0,0,0
4,,A13,2384160,238416,0.1,00:02.3,53840,5384,0.1,11:26.6,37480,3748,0.1,22:50.9,2384160,0,0,0,53840,0,0,0,37480,0,0,0
4,,A14,32197760,3219776,0.1,00:02.5,20806120,2080612,0.1,11:26.8,13773280,1377328,0.1,22:51.1,32197760,0,0,0,20806120,0,0,0,13773280,0,0,0
4,,A15,32012800,3201280,0.1,00:02.7,20597880,2059788,0.1,11:27.0,13618120,1361812,0.1,22:51.3,32012800,0,0,0,20597880,0,0,0,13618120,0,0,0
4,,A16,30561000,3056100,0.1,00:02.9,19151800,1915180,0.1,11:27.2,12383840,1238384,0.1,22:51.5,30561000,0,0,0,19151800,0,0,0,12383840,0,0,0
4,,A17,31903360,3190336,0.1,00:03.1,20498640,2049864,0.1,11:27.4,13602160,1360216,0.1,22:51.6,31903360,0,0,0,20498640,0,0,0,13602160,0,0,0
4,,A18,31294920,3129492,0.1,00:03.3,20129640,2012964,0.1,11:27.6,13390840,1339084,0.1,22:51.8,31294920,0,0,0,20129640,0,0,0,13390840,0,0,0
4,,A19,31122200,3112220,0.1,00:03.5,19997160,1999716,0.1,11:27.8,13347400,1334740,0.1,22:52.0,31122200,0,0,0,19997160,0,0,0,13347400,0,0,0
4,,A20,30900760,3090076,0.1,00:03.6,20039920,2003992,0.1,11:28.0,13348480,1334848,0.1,22:52.2,30900760,0,0,0,20039920,0,0,0,13348480,0,0,0
4,,A21,31051440,3105144,0.1,00:03.8,20192160,2019216,0.1,11:28.2,13423800,1342380,0.1,22:52.4,31051440,0,0,0,20192160,0,0,0,13423800,0,0,0
4,,A22,30706480,3070648,0.1,00:04.0,19883600,1988360,0.1,11:28.4,13111880,1311188,0.1,22:52.6,30706480,0,0,0,19883600,0,0,0,13111880,0,0,0
4,,A23,78880,7888,0.1,00:04.2,49000,4900,0.1,11:28.6,33200,3320,0.1,22:52.8,78880,0,0,0,49000,0,0,0,33200,0,0,0
4,,A24,30316440,3031644,0.1,00:04.4,19671080,1967108,0.1,11:28.8,12995080,1299508,0.1,22:53.0,30316440,0,0,0,19671080,0,0,0,12995080,0,0,0
4,,B01,26998160,2699816,0.1,00:04.9,17438520,1743852,0.1,11:29.2,11589320,1158932,0.1,22:53.4,26998160,0,0,0,17438520,0,0,0,11589320,0,0,0
4,,B02,115840,11584,0.1,00:05.0,72520,7252,0.1,11:29.4,48640,4864,0.1,22:53.6,115840,0,0,0,72520,0,0,0,48640,0,0,0
4,,B03,26627360,2662736,0.1,00:05.2,17127320,1712732,0.1,11:29.6,11373600,1137360,0.1,22:53.8,26627360,0,0,0,17127320,0,0,0,11373600,0,0,0
4,,B04,262000,26200,0.1,00:05.4,171120,17112,0.1,11:29.8,118240,11824,0.1,22:54.0,262000,0,0,0,171120,0,0,0,118240,0,0,0
4,,B05,28225240,2822524,0.1,00:05.6,18124520,1812452,0.1,11:30.0,12037520,1203752,0.1,22:54.2,28225240,0,0,0,18124520,0,0,0,12037520,0,0,0
4,,B06,28944960,2894496,0.1,00:05.8,18569760,1856976,0.1,11:30.2,12386640,1238664,0.1,22:54.4,28944960,0,0,0,18569760,0,0,0,12386640,0,0,0
4,,B07,28707680,2870768,0.1,00:06.0,18374600,1837460,0.1,11:30.4,12232800,1223280,0.1,22:54.6,28707680,0,0,0,18374600,0,0,0,12232800,0,0,0
4,,B08,29097320,2909732,0.1,00:06.2,18434120,1843412,0.1,11:30.5,12233280,1223328,0.1,22:54.8,29097320,0,0,0,18434120,0,0,0,12233280,0,0,0
4,,B09,29577680,2957768,0.1,00:06.4,18891520,1889152,0.1,11:30.7,12548480,1254848,0.1,22:55.0,29577680,0,0,0,18891520,0,0,0,12548480,0,0,0
4,,B10,29588320,2958832,0.1,00:06.6,18886320,1888632,0.1,11:30.9,12538960,1253896,0.1,22:55.2,29588320,0,0,0,18886320,0,0,0,12538960,0,0,0
4,,B11,29874400,2987440,0.1,00:06.8,19033520,1903352,0.1,11:31.1,12592040,1259204,0.1,22:55.4,29874400,0,0,0,19033520,0,0,0,12592040,0,0,0
4,,B12,30388160,3038816,0.1,00:07.0,19291480,1929148,0.1,11:31.3,12802640,1280264,0.1,22:55.5,30388160,0,0,0,19291480,0,0,0,12802640,0,0,0
4,,B13,30271560,3027156,0.1,00:07.2,19218560,1921856,0.1,11:31.5,12703000,1270300,0.1,22:55.7,30271560,0,0,0,19218560,0,0,0,12703000,0,0,0
4,,B14,30215240,3021524,0.1,00:07.4,19232880,1923288,0.1,11:31.7,12757560,1275756,0.1,22:55.9,30215240,0,0,0,19232880,0,0,0,12757560,0,0,0
4,,B15,30587240,3058724,0.1,00:07.5,19345000,1934500,0.1,11:31.9,12791520,1279152,0.1,22:56.1,30587240,0,0,0,19345000,0,0,0,12791520,0,0,0
4,,B16,30732080,3073208,0.1,00:07.7,19503480,1950348,0.1,11:32.1,12969200,1296920,0.1,22:56.3,30732080,0,0,0,19503480,0,0,0,12969200,0,0,0
4,,B17,30819040,3081904,0.1,00:07.9,19587080,1958708,0.1,11:32.3,13010720,1301072,0.1,22:56.5,30819040,0,0,0,19587080,0,0,0,13010720,0,0,0
4,,B18,30625800,3062580,0.1,00:08.1,19430480,1943048,0.1,11:32.5,12857400,1285740,0.1,22:56.7,30625800,0,0,0,19430480,0,0,0,12857400,0,0,0
