,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
2,,A01,4954960,495496,0.1,00:00.0,4715360,471536,0.1,11:24.3,4473040,447304,0.1,22:48.6,4954960,0,0,0,4715360,0,0,0,4473040,0,0,0
2,,A02,326080,32608,0.1,00:00.2,211720,21172,0.1,11:24.5,167200,16720,0.1,22:48.8,326080,0,0,0,211720,0,0,0,167200,0,0,0
2,,A03,8629920,862992,0.1,00:00.4,8138680,813868,0.1,11:24.7,7669120,766912,0.1,22:49.0,8629920,0,0,0,8138680,0,0,0,7669120,0,0,0
2,,A04,8702320,870232,0.1,00:00.6,8193520,819352,0.1,11:24.9,7734360,773436,0.1,22:49.2,8702320,0,0,0,8193520,0,0,0,7734360,0,0,0
2,,A05,8635560,863556,0.1,00:00.8,8127440,812744,0.1,11:25.1,7644240,764424,0.1,22:49.4,8635560,0,0,0,8127440,0,0,0,7644240,0,0,0
2,,A06,8784040,878404,0.1,00:01.0,8261960,826196,0.1,11:25.3,7784280,778428,0.1,22:49.6,8784040,0,0,0,8261960,0,0,0,7784280,0,0,0
2,,A07,8777800,877780,0.1,00:01.1,8250520,825052,0.1,11:25.5,7775480,777548,0.1,22:49.8,8777800,0,0,0,8250520,0,0,0,7775480,0,0,0
2,,A08,8965360,896536,0.1,00:01.3,8447360,844736,0.1,11:25.7,7948400,794840,0.1,22:50.0,8965360,0,0,0,8447360,0,0,0,7948400,0,0,0
2,,A09,8930320,893032,0.1,00:01.5,8403240,840324,0.1,11:25.9,7919880,791988,0.1,22:50.2,8930320,0,0,0,8403240,0,0,0,7919880,0,0,0
