,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
1,,A01,7434320,743432,0.1,00:00.0,5699240,569924,0.1,11:24.3,4908560,490856,0.1,22:48.6,7434320,0,0,0,5699240,0,0,0,4908560,0,0,0
1,,A02,52760,5276,0.1,00:00.2,34160,3416,0.1,11:24.5,30720,3072,0.1,22:48.8,52760,0,0,0,34160,0,0,0,30720,0,0,0
1,,A03,14741800,1474180,0.1,00:00.4,11653640,1165364,0.1,11:24.7,9921800,992180,0.1,22:49.0,14741800,0,0,0,11653640,0,0,0,9921800,0,0,0
1,,A04,14932240,1493224,0.1,00:00.6,11690000,1169000,0.1,11:24.9,9979280,997928,0.1,22:49.1,14932240,0,0,0,11690000,0,0,0,9979280,0,0,0
1,,A05,12433200,1243320,0.1,00:00.8,9888080,988808,0.1,11:25.1,8464400,846440,0.1,22:49.3,12433200,0,0,0,9888080,0,0,0,8464400,0,0,0
1,,A06,15119960,1511996,0.1,00:01.0,11999360,1199936,0.1,11:25.3,10219560,1021956,0.1,22:49.5,15119960,0,0,0,11999360,0,0,0,10219560,0,0,0
1,,A07,15054000,1505400,0.1,00:01.1,11899280,1189928,0.1,11:25.5,10116960,1011696,0.1,22:49.7,15054000,0,0,0,11899280,0,0,0,10116960,0,0,0
1,,A08,15201640,1520164,0.1,00:01.3,12260800,1226080,0.1,11:25.7,10445280,1044528,0.1,22:49.9,15201640,0,0,0,12260800,0,0,0,10445280,0,0,0
1,,A09,15026400,1502640,0.1,00:01.5,12077160,1207716,0.1,11:25.9,10356640,1035664,0.1,22:50.1,15026400,0,0,0,12077160,0,0,0,10356640,0,0,0
1,,A10,15251560,1525156,0.1,00:01.7,12348880,1234888,0.1,11:26.1,10570360,1057036,0.1,22:50.3,15251560,0,0,0,12348880,0,0,0,10570360,0,0,0
1,,A11,15024880,1502488,0.1,00:01.9,12353640,1235364,0.1,11:26.3,10564400,1056440,0.1,22:50.5,15024880,0,0,0,12353640,0,0,0,10564400,0,0,0
1,,A12,15506280,1550628,0.1,00:02.1,12250880,1225088,0.1,11:26.5,10490720,1049072,0.1,22:50.7,15506280,0,0,0,12250880,0,0,0,10490720,0,0,0
1,,A13,7657720,765772,0.1,00:02.3,129600,12960,0.1,11:26.6,63480,6348,0.1,22:50.9,7657720,0,0,0,129600,0,0,0,63480,0,0,0
1,,A14,15706320,1570632,0.1,00:02.5,12491640,1249164,0.1,11:26.8,10654560,1065456,0.1,22:51.1,15706320,0,0,0,12491640,0,0,0,10654560,0,0,0
1,,A15,14915000,1491500,0.1,00:02.7,12217440,1221744,0.1,11:27.0,10379960,1037996,0.1,22:51.3,14915000,0,0,0,12217440,0,0,0,10379960,0,0,0
1,,A16,14287600,1428760,0.1,00:02.9,11324520,1132452,0.1,11:27.2,9480240,948024,0.1,22:51.5,14287600,0,0,0,11324520,0,0,0,9480240,0,0,0
1,,A17,14764120,1476412,0.1,00:03.1,11953600,1195360,0.1,11:27.4,10053840,1005384,0.1,22:51.6,14764120,0,0,0,11953600,0,0,0,10053840,0,0,0
1,,A18,14822560,1482256,0.1,00:03.3,12275720,1227572,0.1,11:27.6,10461920,1046192,0.1,22:51.8,14822560,0,0,0,12275720,0,0,0,10461920,0,0,0
1,,A19,14958640,1495864,0.1,00:03.5,12207360,1220736,0.1,11:27.8,10389280,1038928,0.1,22:52.0,14958640,0,0,0,12207360,0,0,0,10389280,0,0,0
1,,A20,15247600,1524760,0.1,00:03.6,12427800,1242780,0.1,11:28.0,10590360,1059036,0.1,22:52.2,15247600,0,0,0,12427800,0,0,0,10590360,0,0,0
1,,A21,15093600,1509360,0.1,00:03.8,12547640,1254764,0.1,11:28.2,10663200,1066320,0.1,22:52.4,15093600,0,0,0,12547640,0,0,0,10663200,0,0,0
1,,A22,14727520,1472752,0.1,00:04.0,12351200,1235120,0.1,11:28.4,10525760,1052576,0.1,22:52.6,14727520,0,0,0,12351200,0,0,0,10525760,0,0,0
1,,A23,46280,4628,0.1,00:04.2,28760,2876,0.1,11:28.6,26240,2624,0.1,22:52.8,46280,0,0,0,28760,0,0,0,26240,0,0,0
1,,A24,14647840,1464784,0.1,00:04.4,12499760,1249976,0.1,11:28.8,10712640,1071264,0.1,22:53.0,14647840,0,0,0,12499760,0,0,0,10712640,0,0,0
