,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
1,,A01,3087040,308704,0.1,00:00.0,2103920,210392,0.1,11:24.3,1612640,161264,0.1,22:48.6,3087040,0,0,0,2103920,0,0,0,1612640,0,0,0
1,,A02,244120,24412,0.1,00:00.2,126720,12672,0.1,11:24.5,92360,9236,0.1,22:48.8,244120,0,0,0,126720,0,0,0,92360,0,0,0
1,,A03,8733040,873304,0.1,00:00.4,5153520,515352,0.1,11:24.7,3708040,370804,0.1,22:49.0,8733040,0,0,0,5153520,0,0,0,3708040,0,0,0
1,,A04,8869800,886980,0.1,00:00.6,5197320,519732,0.1,11:24.9,3729760,372976,0.1,22:49.2,8869800,0,0,0,5197320,0,0,0,3729760,0,0,0
1,,A05,8838800,883880,0.1,00:00.8,5169280,516928,0.1,11:25.1,3707640,370764,0.1,22:49.4,8838800,0,0,0,5169280,0,0,0,3707640,0,0,0
1,,A06,8920120,892012,0.1,00:01.0,5265000,526500,0.1,11:25.3,3787120,378712,0.1,22:49.6,8920120,0,0,0,5265000,0,0,0,3787120,0,0,0
1,,A07,8893200,889320,0.1,00:01.1,5282400,528240,0.1,11:25.5,3814640,381464,0.1,22:49.8,8893200,0,0,0,5282400,0,0,0,3814640,0,0,0
1,,A08,8979560,897956,0.1,00:01.3,5364280,536428,0.1,11:25.7,3854640,385464,0.1,22:50.0,8979560,0,0,0,5364280,0,0,0,3854640,0,0,0
1,,A09,8916200,891620,0.1,00:01.5,5324120,532412,0.1,11:25.9,3848600,384860,0.1,22:50.2,8916200,0,0,0,5324120,0,0,0,3848600,0,0,0
1,,A10,9026160,902616,0.1,00:01.7,5396040,539604,0.1,11:26.0,3892360,389236,0.1,22:50.3,9026160,0,0,0,5396040,0,0,0,3892360,0,0,0
1,,A11,8934120,893412,0.1,00:01.9,5317560,531756,0.1,11:26.2,3838680,383868,0.1,22:50.5,8934120,0,0,0,5317560,0,0,0,3838680,0,0,0
1,,A12,8990120,899012,0.1,00:02.1,5385600,538560,0.1,11:26.4,3885520,388552,0.1,22:50.7,8990120,0,0,0,5385600,0,0,0,3885520,0,0,0
1,,A13,8900600,890060,0.1,00:02.3,5316840,531684,0.1,11:26.6,3830840,383084,0.1,22:50.9,8900600,0,0,0,5316840,0,0,0,3830840,0,0,0
1,,A14,8975440,897544,0.1,00:02.5,5391960,539196,0.1,11:26.8,3884360,388436,0.1,22:51.1,8975440,0,0,0,5391960,0,0,0,3884360,0,0,0
1,,A15,8906400,890640,0.1,00:02.7,5363000,536300,0.1,11:27.0,3854440,385444,0.1,22:51.3,8906400,0,0,0,5363000,0,0,0,3854440,0,0,0
1,,A16,8969680,896968,0.1,00:02.9,4943840,494384,0.1,11:27.2,3263000,326300,0.1,22:51.5,8969680,0,0,0,4943840,0,0,0,3263000,0,0,0
1,,A17,8836960,883696,0.1,00:03.1,5310560,531056,0.1,11:27.4,3812720,381272,0.1,22:51.7,8836960,0,0,0,5310560,0,0,0,3812720,0,0,0
1,,A18,9051840,905184,0.1,00:03.3,5409920,540992,0.1,11:27.6,3897200,389720,0.1,22:51.9,9051840,0,0,0,5409920,0,0,0,3897200,0,0,0
1,,A19,8861000,886100,0.1,00:03.5,5338560,533856,0.1,11:27.8,3865720,386572,0.1,22:52.1,8861000,0,0,0,5338560,0,0,0,3865720,0,0,0
1,,A20,9094440,909444,0.1,00:03.6,5384280,538428,0.1,11:28.0,3876000,387600,0.1,22:52.3,9094440,0,0,0,5384280,0,0,0,3876000,0,0,0
1,,A21,9173400,917340,0.1,00:03.8,5435240,543524,0.1,11:28.2,3919640,391964,0.1,22:52.5,9173400,0,0,0,5435240,0,0,0,3919640,0,0,0
1,,A22,9077800,907780,0.1,00:04.0,5395240,539524,0.1,11:28.4,3879280,387928,0.1,22:52.7,9077800,0,0,0,5395240,0,0,0,3879280,0,0,0
1,,A23,15840,1584,0.1,00:04.2,10560,1056,0.1,11:28.5,7760,776,0.1,22:52.8,15840,0,0,0,10560,0,0,0,7760,0,0,0
1,,A24,8972000,897200,0.1,00:04.4,5364440,536444,0.1,11:28.7,3870280,387028,0.1,22:53.0,8972000,0,0,0,5364440,0,0,0,3870280,0,0,0
1,,B01,8698040,869804,0.1,00:04.9,5164760,516476,0.1,11:29.2,3748160,374816,0.1,22:53.5,8698040,0,0,0,5164760,0,0,0,3748160,0,0,0
1,,B02,360720,36072,0.1,00:05.0,192560,19256,0.1,11:29.4,137160,13716,0.1,22:53.7,360720,0,0,0,192560,0,0,0,137160,0,0,0
1,,B03,8393000,839300,0.1,00:05.2,5100840,510084,0.1,11:29.6,3666240,366624,0.1,22:53.9,8393000,0,0,0,5100840,0,0,0,3666240,0,0,0
1,,B04,90880,9088,0.1,00:05.4,62080,6208,0.1,11:29.8,50960,5096,0.1,22:54.1,90880,0,0,0,62080,0,0,0,50960,0,0,0
1,,B05,8601160,860116,0.1,00:05.6,5143880,514388,0.1,11:30.0,3694200,369420,0.1,22:54.3,8601160,0,0,0,5143880,0,0,0,3694200,0,0,0
1,,B06,8869120,886912,0.1,00:05.8,5308440,530844,0.1,11:30.1,3814960,381496,0.1,22:54.4,8869120,0,0,0,5308440,0,0,0,3814960,0,0,0
1,,B07,8879480,887948,0.1,00:06.0,5361240,536124,0.1,11:30.3,3843560,384356,0.1,22:54.6,8879480,0,0,0,5361240,0,0,0,3843560,0,0,0
1,,B08,8884560,888456,0.1,00:06.2,5347880,534788,0.1,11:30.5,3860200,386020,0.1,22:54.8,8884560,0,0,0,5347880,0,0,0,3860200,0,0,0
1,,B09,9007800,900780,0.1,00:06.4,5424040,542404,0.1,11:30.7,3932560,393256,0.1,22:55.0,9007800,0,0,0,5424040,0,0,0,3932560,0,0,0
1,,B10,8972120,897212,0.1,00:06.6,5415280,541528,0.1,11:30.9,3902080,390208,0.1,22:55.2,8972120,0,0,0,5415280,0,0,0,3902080,0,0,0
1,,B11,8981480,898148,0.1,00:06.8,5424960,542496,0.1,11:31.1,3915160,391516,0.1,22:55.4,8981480,0,0,0,5424960,0,0,0,3915160,0,0,0
1,,B12,9045520,904552,0.1,00:07.0,5438840,543884,0.1,11:31.3,3921440,392144,0.1,22:55.6,9045520,0,0,0,5438840,0,0,0,3921440,0,0,0
1,,B13,9036240,903624,0.1,00:07.2,5476520,547652,0.1,11:31.5,3947680,394768,0.1,22:55.8,9036240,0,0,0,5476520,0,0,0,3947680,0,0,0
1,,B14,8732280,873228,0.1,00:07.4,5307880,530788,0.1,11:31.7,3833680,383368,0.1,22:56.0,8732280,0,0,0,5307880,0,0,0,3833680,0,0,0
1,,B15,9014200,901420,0.1,00:07.5,5465400,546540,0.1,11:31.9,3936560,393656,0.1,22:56.2,9014200,0,0,0,5465400,0,0,0,3936560,0,0,0
1,,B16,9444000,944400,0.1,00:07.7,5720720,572072,0.1,11:32.1,4126000,412600,0.1,22:56.4,9444000,0,0,0,5720720,0,0,0,4126000,0,0,0
1,,B17,9078600,907860,0.1,00:07.9,5463280,546328,0.1,11:32.3,3938160,393816,0.1,22:56.6,9078600,0,0,0,5463280,0,0,0,3938160,0,0,0
1,,B18,8904040,890404,0.1,00:08.1,5393120,539312,0.1,11:32.5,3878560,387856,0.1,22:56.7,8904040,0,0,0,5393120,0,0,0,3878560,0,0,0
1,,B19,8945880,894588,0.1,00:08.3,5389240,538924,0.1,11:32.6,3884480,388448,0.1,22:56.9,8945880,0,0,0,5389240,0,0,0,3884480,0,0,0
1,,B20,8912120,891212,0.1,00:08.5,5394760,539476,0.1,11:32.8,3890800,389080,0.1,22:57.1,8912120,0,0,0,5394760,0,0,0,3890800,0,0,0
1,,B21,8997760,899776,0.1,00:08.7,5444000,544400,0.1,11:33.0,3940680,394068,0.1,22:57.3,8997760,0,0,0,5444000,0,0,0,3940680,0,0,0
1,,B22,8849640,884964,0.1,00:08.9,5370720,537072,0.1,11:33.2,3879040,387904,0.1,22:57.5,8849640,0,0,0,5370720,0,0,0,3879040,0,0,0
1,,B23,19640,1964,0.1,00:09.1,12040,1204,0.1,11:33.4,8720,872,0.1,22:57.7,19640,0,0,0,12040,0,0,0,8720,0,0,0
1,,B24,8333800,833380,0.1,00:09.3,4884160,488416,0.1,11:33.6,3462120,346212,0.1,22:57.9,8333800,0,0,0,4884160,0,0,0,3462120,0,0,0
1,,C01,8365840,836584,0.1,00:09.7,5100800,510080,0.1,11:34.0,3684560,368456,0.1,22:58.3,8365840,0,0,0,5100800,0,0,0,3684560,0,0,0
1,,C02,161320,16132,0.1,00:09.9,86760,8676,0.1,11:34.2,63080,6308,0.1,22:58.5,161320,0,0,0,86760,0,0,0,63080,0,0,0
1,,C03,29840,2984,0.1,00:10.1,19720,1972,0.1,11:34.4,15400,1540,0.1,22:58.7,29840,0,0,0,19720,0,0,0,15400,0,0,0
1,,C04,8008840,800884,0.1,00:10.3,4923640,492364,0.1,11:34.6,3557480,355748,0.1,22:58.9,8008840,0,0,0,4923640,0,0,0,3557480,0,0,0
1,,C05,8284560,828456,0.1,00:10.5,5078840,507884,0.1,11:34.8,3669880,366988,0.1,22:59.1,8284560,0,0,0,5078840,0,0,0,3669880,0,0,0
1,,C06,8449200,844920,0.1,00:10.7,5146200,514620,0.1,11:35.0,3717720,371772,0.1,22:59.3,8449200,0,0,0,5146200,0,0,0,3717720,0,0,0
1,,C07,8469320,846932,0.1,00:10.9,5200280,520028,0.1,11:35.2,3786040,378604,0.1,22:59.5,8469320,0,0,0,5200280,0,0,0,3786040,0,0,0
1,,C08,8460280,846028,0.1,00:11.1,5163760,516376,0.1,11:35.4,3752160,375216,0.1,22:59.7,8460280,0,0,0,5163760,0,0,0,3752160,0,0,0
1,,C09,8571320,857132,0.1,00:11.3,5241600,524160,0.1,11:35.6,3792840,379284,0.1,22:59.9,8571320,0,0,0,5241600,0,0,0,3792840,0,0,0
1,,C10,8503880,850388,0.1,00:11.5,5190560,519056,0.1,11:35.8,3759360,375936,0.1,23:00.1,8503880,0,0,0,5190560,0,0,0,3759360,0,0,0
1,,C11,8490200,849020,0.1,00:11.6,5193000,519300,0.1,11:36.0,3755720,375572,0.1,23:00.3,8490200,0,0,0,5193000,0,0,0,3755720,0,0,0
1,,C12,8483280,848328,0.1,00:11.8,5214880,521488,0.1,11:36.2,3768080,376808,0.1,23:00.5,8483280,0,0,0,5214880,0,0,0,3768080,0,0,0
1,,C13,7924920,792492,0.1,00:12.0,4695400,469540,0.1,11:36.4,3299040,329904,0.1,23:00.7,7924920,0,0,0,4695400,0,0,0,3299040,0,0,0
1,,C14,524520,52452,0.1,00:12.2,450680,45068,0.1,11:36.5,389440,38944,0.1,23:00.8,524520,0,0,0,450680,0,0,0,389440,0,0,0
1,,C15,8633720,863372,0.1,00:12.4,5269880,526988,0.1,11:36.7,3816160,381616,0.1,23:01.0,8633720,0,0,0,5269880,0,0,0,3816160,0,0,0
1,,C16,8705520,870552,0.1,00:12.6,5272200,527220,0.1,11:36.9,3803480,380348,0.1,23:01.2,8705520,0,0,0,5272200,0,0,0,3803480,0,0,0
1,,C17,8627520,862752,0.1,00:12.8,5256240,525624,0.1,11:37.1,3815240,381524,0.1,23:01.4,8627520,0,0,0,5256240,0,0,0,3815240,0,0,0
1,,C18,8516000,851600,0.1,00:13.0,5174360,517436,0.1,11:37.3,3731920,373192,0.1,23:01.6,8516000,0,0,0,5174360,0,0,0,3731920,0,0,0
1,,C19,8620080,862008,0.1,00:13.2,5228320,522832,0.1,11:37.5,3770080,377008,0.1,23:01.8,8620080,0,0,0,5228320,0,0,0,3770080,0,0,0
1,,C20,8462120,846212,0.1,00:13.4,5143120,514312,0.1,11:37.7,3707960,370796,0.1,23:02.0,8462120,0,0,0,5143120,0,0,0,3707960,0,0,0
1,,C21,8429240,842924,0.1,00:13.6,5165360,516536,0.1,11:37.9,3714520,371452,0.1,23:02.2,8429240,0,0,0,5165360,0,0,0,3714520,0,0,0
1,,C22,8384640,838464,0.1,00:13.8,5124280,512428,0.1,11:38.1,3695000,369500,0.1,23:02.4,8384640,0,0,0,5124280,0,0,0,3695000,0,0,0
1,,C23,18320,1832,0.1,00:13.9,12120,1212,0.1,11:38.3,9480,948,0.1,23:02.6,18320,0,0,0,12120,0,0,0,9480,0,0,0
1,,C24,8321760,832176,0.1,00:14.1,5098960,509896,0.1,11:38.5,3706000,370600,0.1,23:02.8,8321760,0,0,0,5098960,0,0,0,3706000,0,0,0
1,,D01,8477080,847708,0.1,00:14.6,5155880,515588,0.1,11:38.9,3717520,371752,0.1,23:03.2,8477080,0,0,0,5155880,0,0,0,3717520,0,0,0
1,,D02,265040,26504,0.1,00:14.8,139800,13980,0.1,11:39.1,99440,9944,0.1,23:03.4,265040,0,0,0,139800,0,0,0,99440,0,0,0
1,,D03,8805800,880580,0.1,00:15.0,5353360,535336,0.1,11:39.3,3864920,386492,0.1,23:03.6,8805800,0,0,0,5353360,0,0,0,3864920,0,0,0
1,,D04,8458160,845816,0.1,00:15.2,5179000,517900,0.1,11:39.5,3734160,373416,0.1,23:03.8,8458160,0,0,0,5179000,0,0,0,3734160,0,0,0
1,,D05,8539000,853900,0.1,00:15.3,5206520,520652,0.1,11:39.7,3745680,374568,0.1,23:04.0,8539000,0,0,0,5206520,0,0,0,3745680,0,0,0
1,,D06,8535240,853524,0.1,00:15.5,5217040,521704,0.1,11:39.9,3767960,376796,0.1,23:04.2,8535240,0,0,0,5217040,0,0,0,3767960,0,0,0
1,,D07,8640600,864060,0.1,00:15.7,5245400,524540,0.1,11:40.1,3772080,377208,0.1,23:04.4,8640600,0,0,0,5245400,0,0,0,3772080,0,0,0
1,,D08,8669360,866936,0.1,00:15.9,5276160,527616,0.1,11:40.3,3799120,379912,0.1,23:04.5,8669360,0,0,0,5276160,0,0,0,3799120,0,0,0
1,,D09,8638400,863840,0.1,00:16.1,5268040,526804,0.1,11:40.5,3802280,380228,0.1,23:04.8,8638400,0,0,0,5268040,0,0,0,3802280,0,0,0
1,,D10,8529560,852956,0.1,00:16.3,5188680,518868,0.1,11:40.6,3739800,373980,0.1,23:04.9,8529560,0,0,0,5188680,0,0,0,3739800,0,0,0
1,,D11,8539720,853972,0.1,00:16.5,5234320,523432,0.1,11:40.8,3783240,378324,0.1,23:05.1,8539720,0,0,0,5234320,0,0,0,3783240,0,0,0
1,,D12,8572440,857244,0.1,00:16.7,5223280,522328,0.1,11:41.0,3775680,377568,0.1,23:05.3,8572440,0,0,0,5223280,0,0,0,3775680,0,0,0
1,,D13,8584000,858400,0.1,00:16.9,5251160,525116,0.1,11:41.2,3792080,379208,0.1,23:05.5,8584000,0,0,0,5251160,0,0,0,3792080,0,0,0
1,,D14,7797480,779748,0.1,00:17.1,4919240,491924,0.1,11:41.4,3614880,361488,0.1,23:05.7,7797480,0,0,0,4919240,0,0,0,3614880,0,0,0
1,,D15,8605800,860580,0.1,00:17.3,5277240,527724,0.1,11:41.6,3815520,381552,0.1,23:05.9,8605800,0,0,0,5277240,0,0,0,3815520,0,0,0
1,,D16,8700120,870012,0.1,00:17.5,5268160,526816,0.1,11:41.8,3789720,378972,0.1,23:06.1,8700120,0,0,0,5268160,0,0,0,3789720,0,0,0
1,,D17,8447160,844716,0.1,00:17.7,5111320,511132,0.1,11:42.0,3692200,369220,0.1,23:06.3,8447160,0,0,0,5111320,0,0,0,3692200,0,0,0
1,,D18,8644760,864476,0.1,00:17.8,5199840,519984,0.1,11:42.2,3752960,375296,0.1,23:06.5,8644760,0,0,0,5199840,0,0,0,3752960,0,0,0
1,,D19,8578840,857884,0.1,00:18.0,5207640,520764,0.1,11:42.4,3761240,376124,0.1,23:06.7,8578840,0,0,0,5207640,0,0,0,3761240,0,0,0
1,,D20,8430120,843012,0.1,00:18.2,5126000,512600,0.1,11:42.6,3728640,372864,0.1,23:06.9,8430120,0,0,0,5126000,0,0,0,3728640,0,0,0
1,,D21,8473440,847344,0.1,00:18.4,5189760,518976,0.1,11:42.8,3751560,375156,0.1,23:07.0,8473440,0,0,0,5189760,0,0,0,3751560,0,0,0
1,,D22,8184880,818488,0.1,00:18.6,4995040,499504,0.1,11:43.0,3628080,362808,0.1,23:07.3,8184880,0,0,0,4995040,0,0,0,3628080,0,0,0
1,,D23,18640,1864,0.1,00:18.8,12520,1252,0.1,11:43.1,9120,912,0.1,23:07.4,18640,0,0,0,12520,0,0,0,9120,0,0,0
1,,D24,8279520,827952,0.1,00:19.0,5097520,509752,0.1,11:43.3,3692400,369240,0.1,23:07.6,8279520,0,0,0,5097520,0,0,0,3692400,0,0,0
1,,E01,8806640,880664,0.1,00:19.5,5329920,532992,0.1,11:43.8,3841320,384132,0.1,23:08.1,8806640,0,0,0,5329920,0,0,0,3841320,0,0,0
1,,E02,175840,17584,0.1,00:19.6,95640,9564,0.1,11:44.0,69120,6912,0.1,23:08.3,175840,0,0,0,95640,0,0,0,69120,0,0,0
1,,E03,8760600,876060,0.1,00:19.8,5319520,531952,0.1,11:44.2,3851760,385176,0.1,23:08.5,8760600,0,0,0,5319520,0,0,0,3851760,0,0,0
1,,E04,7781320,778132,0.1,00:20.0,4848400,484840,0.1,11:44.4,3520360,352036,0.1,23:08.7,7781320,0,0,0,4848400,0,0,0,3520360,0,0,0
1,,E05,8482640,848264,0.1,00:20.2,5047120,504712,0.1,11:44.5,3648880,364888,0.1,23:08.8,8482640,0,0,0,5047120,0,0,0,3648880,0,0,0
