,,,PltRpt=1 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=2 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=3 Group=1 US LUM 384 (cps) Yeh(1) De=USLum Ex=N/A Em=N/A Wdw=N/A,,,,PltRpt=1 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=2 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,,PltRpt=3 Calc 1: Crosstalk = Crosstalk correction where Label : US LUM 384 (cps) Yeh(1) channel 1,,,
Plate,Barcode,Well,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,Flashes/Time,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime,CalcResultI,Signal,,MeasTime
1,,A01,136560,13656,0.1,00:00.0,109040,10904,0.1,11:25.0,98800,9880,0.1,22:49.7,136560,0,0,0,109040,0,0,0,98800,0,0,0
1,,A02,400,40,0.1,00:00.2,360,36,0.1,11:25.2,320,32,0.1,22:49.9,400,0,0,0,360,0,0,0,320,0,0,0
1,,A03,239360,23936,0.1,00:00.4,186840,18684,0.1,11:25.4,168160,16816,0.1,22:50.0,239360,0,0,0,186840,0,0,0,168160,0,0,0
1,,A04,240280,24028,0.1,00:00.6,194040,19404,0.1,11:25.6,176800,17680,0.1,22:50.2,240280,0,0,0,194040,0,0,0,176800,0,0,0
1,,A05,241640,24164,0.1,00:00.8,189160,18916,0.1,11:25.8,174720,17472,0.1,22:50.4,241640,0,0,0,189160,0,0,0,174720,0,0,0
1,,A06,246280,24628,0.1,00:01.0,192200,19220,0.1,11:26.0,173000,17300,0.1,22:50.6,246280,0,0,0,192200,0,0,0,173000,0,0,0
1,,A07,249320,24932,0.1,00:01.1,194440,19444,0.1,11:26.2,175480,17548,0.1,22:50.8,249320,0,0,0,194440,0,0,0,175480,0,0,0
1,,A08,245480,24548,0.1,00:01.3,193720,19372,0.1,11:26.4,173560,17356,0.1,22:51.0,245480,0,0,0,193720,0,0,0,173560,0,0,0
1,,A09,239760,23976,0.1,00:01.5,196520,19652,0.1,11:26.6,174640,17464,0.1,22:51.2,239760,0,0,0,196520,0,0,0,174640,0,0,0
1,,A10,235760,23576,0.1,00:01.7,193960,19396,0.1,11:26.8,176760,17676,0.1,22:51.4,235760,0,0,0,193960,0,0,0,176760,0,0,0
1,,A11,240360,24036,0.1,00:01.9,193760,19376,0.1,11:27.0,171600,17160,0.1,22:51.6,240360,0,0,0,193760,0,0,0,171600,0,0,0
1,,A12,233400,23340,0.1,00:02.1,192880,19288,0.1,11:27.2,173840,17384,0.1,22:51.8,233400,0,0,0,192880,0,0,0,173840,0,0,0
1,,A13,52200,5220,0.1,00:02.3,400,40,0.1,11:27.3,320,32,0.1,22:52.0,52200,0,0,0,400,0,0,0,320,0,0,0
1,,A14,235520,23552,0.1,00:02.5,190960,19096,0.1,11:27.5,170920,17092,0.1,22:52.2,235520,0,0,0,190960,0,0,0,170920,0,0,0
1,,A15,209640,20964,0.1,00:02.7,164080,16408,0.1,11:27.7,151600,15160,0.1,22:52.4,209640,0,0,0,164080,0,0,0,151600,0,0,0
1,,A16,232120,23212,0.1,00:02.9,177360,17736,0.1,11:27.9,158640,15864,0.1,22:52.5,232120,0,0,0,177360,0,0,0,158640,0,0,0
1,,A17,223000,22300,0.1,00:03.1,185000,18500,0.1,11:28.1,166000,16600,0.1,22:52.7,223000,0,0,0,185000,0,0,0,166000,0,0,0
1,,A18,215800,21580,0.1,00:03.3,185040,18504,0.1,11:28.3,166880,16688,0.1,22:52.9,215800,0,0,0,185040,0,0,0,166880,0,0,0
1,,A19,183480,18348,0.1,00:03.5,150720,15072,0.1,11:28.5,139640,13964,0.1,22:53.1,183480,0,0,0,150720,0,0,0,139640,0,0,0
1,,A20,219640,21964,0.1,00:03.6,181840,18184,0.1,11:28.7,168160,16816,0.1,22:53.3,219640,0,0,0,181840,0,0,0,168160,0,0,0
1,,A21,217520,21752,0.1,00:03.8,184280,18428,0.1,11:28.9,167520,16752,0.1,22:53.5,217520,0,0,0,184280,0,0,0,167520,0,0,0
1,,A22,217760,21776,0.1,00:04.0,179840,17984,0.1,11:29.1,165640,16564,0.1,22:53.7,217760,0,0,0,179840,0,0,0,165640,0,0,0
1,,A23,360,36,0.1,00:04.2,240,24,0.1,11:29.3,240,24,0.1,22:53.9,360,0,0,0,240,0,0,0,240,0,0,0
1,,A24,205640,20564,0.1,00:04.4,175720,17572,0.1,11:29.5,164000,16400,0.1,22:54.1,205640,0,0,0,175720,0,0,0,164000,0,0,0
