Condition,Time,Slope,Y-intercept (log scale),X-intercept,1/slope,R squared,Sy.x,LOD
Lysed (plain_PBS),0.0,0.9420484386359984,3.2878924765017565,0.00032348023600172864,1.0615165409624905,0.9805385763626481,26081.86755766374,91364.90164445493
Lysed (plain_PBS),10.0,-1.5578231907700368,10.209928342864895,3580726.993187016,-0.6419213720304786,0.9872965915603872,7361.576289048085,-15594.32540085019
Lysed (plain_PBS),20.0,-0.8746009250118458,7.15549453111263,151858628.44806525,-1.1433786214969481,0.9908973873383865,8566.043122172965,-32320.96090315468
Lysed (plain_PBS),30.0,-0.7250860072083076,6.40866666470994,689432434.9691465,-1.3791467357784952,0.9863570239607763,2063.2307079000657,-9390.143056662488
Lysed (opt_PBS),0.0,0.5666392827196832,3.069289403905694,3.831291327409989e-06,1.764791165201832,0.9872687448313588,29102.404488177483,169486.898878657
Lysed (opt_PBS),10.0,0.5218383698499005,3.129360518797861,1.0073946736644054e-06,1.9163021689793258,0.9808525279133613,3943.2955945007593,24936.601472205803
Lysed (opt_PBS),20.0,0.44935415277547935,3.2963071186456023,4.616839952963554e-08,2.225416175244856,0.981797539797496,2996.5474628856196,22006.265139522155
Lysed (opt_PBS),30.0,0.37592764409438106,3.4801723970967213,5.526381489692844e-10,2.6600863642497603,0.9929277024926372,3040.382837530656,26689.347063107165
Intact (FuGENE_DPBS),0.0,0.92681878331265,2.863287649686353,0.0008140074432454053,1.0789595744119305,0.9803641516459713,236908.6491834934,843529.0224818402
Intact (FuGENE_DPBS),10.0,0.7572973607326141,3.0083088776421665,0.00010655466759874942,1.3204852569835894,0.9865207065587138,43356.899409249054,188932.0833128318
Intact (FuGENE_DPBS),20.0,1.0646909212637696,2.355886432948469,0.0061271412527470525,0.9392397173942437,0.980444227546128,3585.042473314518,11111.807122291551
Intact (PEI_DPBS),0.0,0.8679401032118156,3.0098192673884947,0.0003405861523718614,1.1521532376479624,0.981127860860432,133997.5564200924,509472.87093887245
Intact (PEI_DPBS),10.0,0.8192522108290817,2.867787788195252,0.0003158679671146091,1.2206253297601746,0.9848686915630128,48364.36773840824,194814.7486538118
Intact (PEI_DPBS),30.0,-1.1208459249540639,8.854121535019548,79341287.27123857,-0.8921832856206203,0.9839609796820866,5537.76094007026,-16304.302576628286
