Condition,Time,Slope,Y-intercept (log scale),X-intercept,1/slope,R squared,Sy.x,LOD
Intact (PEI_HBSS),0.0,1.067962102449234,2.4358244963310516,0.005238229463984862,0.9363628144731244,0.983755607074128,103846.99811673933,320886.9425228784
Intact (PEI_HBSS),10.0,0.8669577962829715,3.0771799485713265,0.00028222797635588586,1.1534586854024944,0.9919281411857046,104831.51066144354,399032.0943718106
Intact (PEI_HBSS),20.0,0.8132149404667163,3.2011182952676625,0.00011577794025332908,1.2296871961379423,0.991968989366418,58506.970032728466,237419.39738243917
Intact (PEI_HBSS),30.0,0.784982798796478,3.241207794971533,7.429890206532386e-05,1.2739132647660338,0.9942620817426869,33248.21976500038,139772.64902201766
Lysed (Nano-Glo),0.0,0.868748951796397,2.951364440721317,0.00040062852537430427,1.1510805255444654,0.9945848901928096,151046.1989435445,573758.9156027159
Lysed (Nano-Glo),10.0,0.8216544124921296,3.1382844101196508,0.00015154093482003117,1.2170566904970874,0.9951260147097455,251127.2512362578,1008599.1342346609
Lysed (Nano-Glo),20.0,0.7605465877922146,3.322495379172539,4.279937231018321e-05,1.3148438452704034,0.9897613605316111,384507.44958366285,1668371.9367008067
Lysed (Nano-Glo),30.0,0.7822901817946543,3.2577105583500696,6.849754459317406e-05,1.2782980322032127,0.9966283225098586,78795.00754894683,332387.5602209448
Lysed (HBSS),0.0,0.7807510647551306,4.036042498472977,6.769618711596179e-06,1.2808179778962365,0.9894661332650976,307894.0716212535,1301375.6653265706
Lysed (HBSS),10.0,0.7073277302780524,4.190053554198828,1.1918468013176255e-06,1.4137718022265258,0.9815434584089326,176263.26305023214,822346.9025272211
Lysed (opt_PBS),0.0,0.868748951796397,2.951364440721317,0.00040062852537430427,1.1510805255444654,0.9945848901928096,151046.1989435445,573758.9156027159
Lysed (opt_PBS),10.0,0.8216544124921296,3.1382844101196508,0.00015154093482003117,1.2170566904970874,0.9951260147097455,251127.2512362578,1008599.1342346609
Lysed (opt_PBS),20.0,0.7605465877922146,3.322495379172539,4.279937231018321e-05,1.3148438452704034,0.9897613605316111,384507.44958366285,1668371.9367008067
Lysed (opt_PBS),30.0,0.7822901817946543,3.2577105583500696,6.849754459317406e-05,1.2782980322032127,0.9966283225098586,78795.00754894683,332387.5602209448
