Condition,Time,Slope,Y-intercept (log scale),X-intercept,1/slope,R squared,Sy.x,LOD
Intact (PEI_HBSS),0.0,1.2867235794959495,1.5422972396070684,0.06329602066156338,0.7771676962597761,0.9836013448957748,292900.6611157791,751188.6757066408
Intact (PEI_HBSS),10.0,1.2022506634942933,1.5195099676545194,0.0544643320851382,0.8317732985012793,0.9811357433048403,331228.074334104,909172.0042188453
Intact (PEI_HBSS),20.0,1.2503745171399105,1.276492191614465,0.09530421723830751,0.7997603808236481,0.9876170872761885,114704.61068485798,302729.47030771605
Intact (PEI_HBSS),30.0,1.1872832332708831,1.3532626789974098,0.07247735178000278,0.8422590094573047,0.9848886757213632,77438.75496309035,215237.51386110406
Lysed (HBSS),0.0,1.238762390407099,2.316234912930656,0.013495917834472633,0.8072573140288561,0.9851475078544765,418354.90732372535,1114476.194029907
Lysed (HBSS),10.0,1.234749905926917,2.068299480797661,0.021131210026803154,0.8098806043231143,0.9851156339189134,224186.30230381113,599161.6553695573
Lysed (HBSS),20.0,1.231230874030388,1.9145618609009505,0.027861323618505997,0.8121953575827234,0.9844339367011783,153572.283284245,411611.29527158075
Lysed (HBSS),30.0,1.240510051559109,1.7650692683313571,0.03776959330222084,0.8061200300176294,0.9847869708340392,118995.42024868827,316551.152751349
Lysed (opt_MES),0.0,0.8003162389028012,3.283048558707651,7.903344108168814e-05,1.2495060719634485,0.9862996687613416,304700.175935209,1256391.5758659362
Lysed (opt_MES),10.0,0.7612871944802412,3.3220186744937004,4.328261304613138e-05,1.31356471939967,0.9845962095024399,322972.38344060694,1400008.9231524116
Lysed (opt_MES),20.0,0.7421955495110791,3.2702370479068446,3.9249457652919836e-05,1.3473538081153267,0.9874036743677281,162930.91742028043,724434.4537515976
Lysed (opt_MES),30.0,0.7178464141054639,3.2374459037155052,3.0907060751057885e-05,1.3930556458182473,0.9884140537473562,96864.38057810986,445293.6584019769
